product_id,trade_date,current_price,size,google_trend_n_day,google_trend_release
36,2020-09-16,110000,275,52,52
36,2020-09-17,120000,280,52,52
36,2020-09-19,116000,265,53,52
36,2020-09-20,116000,265,53,52
36,2020-09-25,100000,285,55,52
36,2020-09-25,90000,260,55,52
36,2020-09-25,89000,260,55,52
36,2020-09-26,116000,270,55,52
36,2020-10-01,116000,280,57,52
36,2020-10-02,110000,270,57,52
36,2020-10-02,95000,265,57,52
36,2020-10-02,116000,275,57,52
36,2020-10-05,116000,265,58,52
36,2020-10-05,116000,270,58,52
36,2020-10-05,120000,270,58,52
36,2020-10-06,110000,285,58,52
36,2020-10-08,116000,270,58,52
36,2020-10-10,115000,270,59,52
36,2020-10-10,116000,250,59,52
36,2020-10-11,116000,255,59,52
36,2020-10-12,116000,260,59,52
36,2020-10-12,104000,270,59,52
36,2020-10-12,88000,280,59,52
36,2020-10-13,116000,265,60,52
36,2020-10-13,110000,270,60,52
36,2020-10-14,116000,285,60,52
36,2020-10-15,119000,270,60,52
36,2020-10-16,90000,275,60,52
36,2020-10-17,113000,285,61,52
36,2020-10-18,100000,265,61,52
36,2020-10-22,116000,255,62,52
36,2020-10-24,116000,260,62,52
36,2020-10-24,116000,275,62,52
36,2020-10-26,116000,285,63,52
36,2020-10-27,115000,265,63,52
36,2020-10-28,116000,280,63,52
36,2020-10-29,116000,265,64,52
36,2020-10-29,116000,290,64,52
36,2020-10-30,109000,280,64,52
36,2020-11-01,109000,250,65,52
36,2020-11-02,109000,285,64,52
36,2020-11-03,109000,270,64,52
36,2020-11-03,88000,275,64,52
36,2020-11-04,109000,260,64,52
36,2020-11-04,109000,300,64,52
36,2020-11-04,109000,270,64,52
36,2020-11-05,109000,275,63,52
36,2020-11-07,113000,265,63,52
36,2020-11-08,113000,270,62,52
36,2020-11-08,113000,280,62,52
36,2020-11-08,113000,260,62,52
36,2020-11-11,110000,275,62,52
36,2020-11-13,109000,265,61,52
36,2020-11-13,109000,260,61,52
36,2020-11-15,109000,265,60,52
36,2020-11-16,109000,255,60,52
36,2020-11-16,150000,285,60,52
36,2020-11-20,109000,290,59,52
36,2020-11-21,109000,280,59,52
36,2020-11-21,105000,265,59,52
36,2020-11-21,105000,275,59,52
36,2020-11-22,109000,260,58,52
36,2020-11-22,109000,285,58,52
36,2020-11-22,109000,265,58,52
36,2020-11-23,109000,285,58,52
36,2020-11-25,109000,255,57,52
36,2020-11-25,109000,260,57,52
36,2020-11-25,109000,250,57,52
36,2020-11-28,105000,250,56,52
36,2020-11-29,115000,285,56,52
36,2020-12-02,109000,275,55,52
36,2020-12-04,110000,255,55,52
36,2020-12-04,106000,265,55,52
36,2020-12-05,120000,270,55,52
36,2020-12-08,110000,275,54,52
36,2020-12-09,130000,270,54,52
36,2020-12-09,116000,285,54,52
36,2020-12-10,140000,265,54,52
36,2020-12-10,140000,275,54,52
36,2020-12-10,116000,250,54,52
36,2020-12-10,115000,280,54,52
36,2020-12-10,145000,280,54,52
36,2020-12-11,110000,265,54,52
