product_id,trade_date,current_price,size,google_trend_n_day,google_trend_release
441592,2025-02-12,489000,260,51,50.0
441592,2025-02-12,430000,275,51,50.0
441592,2025-02-12,577000,280,51,50.0
441592,2025-02-12,460000,275,51,50.0
441592,2025-02-12,480000,280,51,50.0
441592,2025-02-12,520000,275,51,50.0
441592,2025-02-12,430000,275,51,50.0
441592,2025-02-12,576000,280,51,50.0
441592,2025-02-12,578000,280,51,50.0
441592,2025-02-12,500000,275,51,50.0
441592,2025-02-12,500000,280,51,50.0
441592,2025-02-12,495000,275,51,50.0
441592,2025-02-12,440000,270,51,50.0
441592,2025-02-13,485000,275,50,50.0
441592,2025-02-13,519000,280,50,50.0
441592,2025-02-13,468000,270,50,50.0
441592,2025-02-13,470000,255,50,50.0
441592,2025-02-13,466000,265,50,50.0
441592,2025-02-13,469000,270,50,50.0
441592,2025-02-13,520000,280,50,50.0
441592,2025-02-13,484000,275,50,50.0
441592,2025-02-13,520000,285,50,50.0
441592,2025-02-13,480000,280,50,50.0
441592,2025-02-13,466000,265,50,50.0
441592,2025-02-13,533000,250,50,50.0
441592,2025-02-13,480000,280,50,50.0
441592,2025-02-13,469000,270,50,50.0
441592,2025-02-13,660000,300,50,50.0
441592,2025-02-13,465000,265,50,50.0
441592,2025-02-13,770000,295,50,50.0
441592,2025-02-13,480000,280,50,50.0
441592,2025-02-13,450000,270,50,50.0
441592,2025-02-13,480000,285,50,50.0
441592,2025-02-13,472000,280,50,50.0
441592,2025-02-13,436000,275,50,50.0
441592,2025-02-13,500000,285,50,50.0
441592,2025-02-13,510000,290,50,50.0
441592,2025-02-13,421000,275,50,50.0
441592,2025-02-13,520000,285,50,50.0
441592,2025-02-13,430000,275,50,50.0
441592,2025-02-13,500000,285,50,50.0
441592,2025-02-13,475000,280,50,50.0
441592,2025-02-13,515000,285,50,50.0
441592,2025-02-13,470000,285,50,50.0
441592,2025-02-13,455000,265,50,50.0
441592,2025-02-13,600000,295,50,50.0
441592,2025-02-13,420000,275,50,50.0
441592,2025-02-13,500000,290,50,50.0
441592,2025-02-13,509000,290,50,50.0
441592,2025-02-13,428000,275,50,50.0
441592,2025-02-13,490000,290,50,50.0
441592,2025-02-13,505000,285,50,50.0
441592,2025-02-13,478000,280,50,50.0
441592,2025-02-13,510000,290,50,50.0
441592,2025-02-13,408000,260,50,50.0
441592,2025-02-13,405000,260,50,50.0
441592,2025-02-13,475000,280,50,50.0
441592,2025-02-13,410000,265,50,50.0
441592,2025-02-13,510000,290,50,50.0
441592,2025-02-13,485000,310,50,50.0
441592,2025-02-13,519000,290,50,50.0
441592,2025-02-13,350000,255,50,50.0
441592,2025-02-13,415000,270,50,50.0
441592,2025-02-13,471000,290,50,50.0
441592,2025-02-13,470000,285,50,50.0
441592,2025-02-13,509000,290,50,50.0
441592,2025-02-13,416000,270,50,50.0
441592,2025-02-13,469000,280,50,50.0
441592,2025-02-13,450000,280,50,50.0
441592,2025-02-13,415000,275,50,50.0
441592,2025-02-13,515000,285,50,50.0
441592,2025-02-13,389000,260,50,50.0
441592,2025-02-13,478000,280,50,50.0
441592,2025-02-13,420000,275,50,50.0
441592,2025-02-13,470000,285,50,50.0
441592,2025-02-13,405000,260,50,50.0
441592,2025-02-13,489000,300,50,50.0
441592,2025-02-13,470000,280,50,50.0
441592,2025-02-13,410000,270,50,50.0
441592,2025-02-13,439000,275,50,50.0
441592,2025-02-13,427000,265,50,50.0
441592,2025-02-13,505000,285,50,50.0
441592,2025-02-13,510000,290,50,50.0
441592,2025-02-13,484000,280,50,50.0
441592,2025-02-13,518000,285,50,50.0
441592,2025-02-13,460000,280,50,50.0
441592,2025-02-13,400000,260,50,50.0
441592,2025-02-13,420000,270,50,50.0
441592,2025-02-13,453000,280,50,50.0
441592,2025-02-13,419000,265,50,50.0
441592,2025-02-13,490000,290,50,50.0
