product_id,한글명,관심수,모델번호,발매일,발매가,색상,is_womens,trade_count,window_start,window_cutoff,status,error,collected_at
393121,뉴발란스 미니머스 MT10O 슬레이트 그레이 실버 메탈릭,17000,MT10OAB,24/11/22,159000,Slate Grey/Silver Metallic,0,389,2024-11-24,2025-05-23,OK,,2026-02-17 09:01:12
432750,뉴발란스 1906L 리치 오크 블랙 시멘트,5305,U1906LNS,25/02/05,239000,Rich Oak/Black Cement,0,214,2025-02-05,2025-08-04,OK,,2026-02-17 09:02:02
426574,뉴발란스 1906A 슬레이트 그레이 레인클라우드,659,U1906AC,25/01/22,239000,Slate Grey/Raincloud/Drift Red,0,54,2025-01-23,2025-07-22,OK,,2026-02-17 09:03:00
90805,뉴발란스 530 화이트 실버,55000,MR530AD,23/01/06,119000,WHITE/SILVER,0,1652,2022-12-31,2023-06-29,OK,,2026-02-17 09:03:31
24794,뉴발란스 878 트리플 블랙,16000,CM878XL,19/08/01,149000,Black,0,98,2020-08-25,2021-02-21,OK,,2026-02-17 09:07:42
101218,뉴발란스 530 프리미엄 빈티지 그레이 매터,45000,MR530TG,23/02/23,159000,Grey Matter,0,47,2023-02-22,2023-08-21,OK,,2026-02-17 09:08:21
584497,뉴발란스 740 화이트 그레이,529,U740PH2,,,White/Grey/Metallic,0,149,2025-08-31,2026-02-27,OK,,2026-02-17 09:08:54
388308,뉴발란스 1906A 씨 솔트 문빔,236,M1906AB,24/11/20,239000,Sea Salt/Moonbeam/Astro Dust,0,23,2024-12-11,2025-06-09,OK,,2026-02-17 09:09:39
226052,뉴발란스 1906R 실버 메탈릭 씨 솔트,9563,M1906REE,24/01/12,179000,Silver Metallic/Sea Salt,0,889,2024-01-11,2024-07-09,OK,,2026-02-17 09:10:53
298493,뉴발란스 1906R 실버 메탈릭 블랙,3663,M1906RER,24/06/21,179000,Silver Metallic/Black,0,387,2024-06-17,2024-12-14,OK,,2026-02-17 09:12:30
455044,뉴발란스 1906A 잉크웰 씨 솔트,228,U1906ANB,25/03/05,239000,Inkwell/Sea Salt/Faded Plum,0,23,2025-03-14,2025-09-10,OK,,2026-02-17 09:13:22
456436,뉴발란스 1906A 에그플랜트 씨 솔트,227,U1906ANA,25/03/05,239000,Eggplant/Sea Salt,0,19,2025-03-29,2025-09-25,OK,,2026-02-17 09:13:51
445499,뉴발란스 509 블랙 캐슬 그레이,9704,U509XB,25/02/21,189000,Black/Castle Grey,0,591,2025-02-21,2025-08-20,OK,,2026-02-17 09:14:16
257713,뉴발란스 x 포터리 574 프리미엄 소프트 그레이,12000,U574GG2,24/03/15,149000,Soft Grey,0,731,2024-03-14,2024-09-10,OK,,2026-02-17 09:15:24
625568,뉴발란스 2002R 브라운 블랙,5560,U2002RAB,25/10/02,189000,Brown/Black,0,599,2025-10-02,2026-03-31,OK,,2026-02-17 09:16:45
